ts;locator_mac;azimuth_angle;converted_azimuth;ss_snr;rssi;distance;opposite_angle;lat;lon;bearing;height
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;1,0;168,000000000000000;11431,2752;-66;5,3;6,0737457969402664;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;-1,0;166,000000000000000;11431,2752;-66;5,3;6,0388392119003802;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;-1,0;166,000000000000000;3585,5403;-63;6,2;6,0388392119003802;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:66:0d:2a;111,7;145,699999999999989;2098,5831;-72;9,3;5,6845373737455311;60,4482652555505;22,2948234993964;34;2,22
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;-12,0;155,000000000000000;12165,8665;-61;5,2;5,8468529941810035;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;-3,0;164,000000000000000;3585,5403;-63;6,2;6,0039326268604931;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;7,0;174,000000000000000;3585,5403;-63;6,2;6,1784655520599268;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;-1,0;166,000000000000000;691,1716;-67;6,2;6,0388392119003802;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;10,0;177,000000000000000;11431,2752;-66;5,3;6,2308254296197561;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;-3,0;164,000000000000000;3585,5403;-63;6,2;6,0039326268604931;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;2,0;169,000000000000000;11431,2752;-66;5,3;6,0911990894602104;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;-4,0;163,000000000000000;1391,8194;-69;6,4;5,9864793343405509;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;2,0;169,000000000000000;12165,8665;-61;5,2;6,0911990894602104;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;53,0;217,000000000000000;852,5354;-62;5,5;0,6457718232379019;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;-10,0;157,000000000000000;691,1716;-67;6,2;5,8817595792208897;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;-106,0;58,000000000000000;12191,5032;-73;5,6;4,1538836197465043;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;-8,0;159,000000000000000;12165,8665;-61;5,2;5,9166661642607767;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;-119,0;45,000000000000000;11324,3701;-63;4,8;3,9269908169872414;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;-106,0;58,000000000000000;1976,5235;-62;5,1;4,1538836197465043;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;1,0;168,000000000000000;11431,2752;-66;5,3;6,0737457969402664;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;-102,0;62,000000000000000;12191,5032;-73;5,6;4,2236967898262776;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;-111,0;53,000000000000000;12191,5032;-73;5,6;4,0666171571467880;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;17,0;184,000000000000000;12165,8665;-61;5,2;0,0698131700797732;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;-115,0;49,000000000000000;11324,3701;-63;4,8;3,9968039870670142;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;7,0;174,000000000000000;1391,8194;-69;6,4;6,1784655520599268;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;-119,0;45,000000000000000;11324,3701;-63;4,8;3,9269908169872414;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;-112,0;52,000000000000000;852,5354;-62;5,5;4,0491638646268449;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;50,0;214,000000000000000;12191,5032;-73;5,6;0,5934119456780721;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;-1,0;166,000000000000000;1391,8194;-69;6,4;6,0388392119003802;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;-18,0;149,000000000000000;11431,2752;-66;5,3;5,7421332390613440;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;-102,0;62,000000000000000;1976,5235;-62;5,1;4,2236967898262776;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;-12,0;155,000000000000000;12165,8665;-61;5,2;5,8468529941810035;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;-111,0;53,000000000000000;12191,5032;-73;5,6;4,0666171571467880;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;0,0;167,000000000000000;691,1716;-67;6,2;6,0562925044203233;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;-106,0;58,000000000000000;12191,5032;-73;5,6;4,1538836197465043;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;39,0;203,000000000000000;852,5354;-62;5,5;0,4014257279586957;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;-20,0;147,000000000000000;11431,2752;-66;5,3;5,7072266540214578;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;48,0;212,000000000000000;1976,5235;-62;5,1;0,5585053606381855;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;-119,0;45,000000000000000;11324,3701;-63;4,8;3,9269908169872414;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;1,0;168,000000000000000;691,1716;-67;6,2;6,0737457969402664;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;-118,0;46,000000000000000;1976,5235;-62;5,1;3,9444441095071845;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;-1,0;166,000000000000000;1391,8194;-69;6,4;6,0388392119003802;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;-106,0;58,000000000000000;1976,5235;-62;5,1;4,1538836197465043;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;-18,0;149,000000000000000;11431,2752;-66;5,3;5,7421332390613440;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;46,0;210,000000000000000;11324,3701;-63;4,8;0,5235987755982988;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;3,0;170,000000000000000;12165,8665;-61;5,2;6,1086523819801526;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;53,0;217,000000000000000;852,5354;-62;5,5;0,6457718232379019;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;50,0;217,000000000000000;691,1716;-67;6,2;0,6457718232379019;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;-109,0;55,000000000000000;852,5354;-62;5,5;4,1015237421866741;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;-12,0;155,000000000000000;12165,8665;-61;5,2;5,8468529941810035;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;47,0;211,000000000000000;11324,3701;-63;4,8;0,5410520681182421;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;-1,0;166,000000000000000;1391,8194;-69;6,4;6,0388392119003802;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;-124,0;40,000000000000000;852,5354;-62;5,5;3,8397243543875250;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;-108,0;56,000000000000000;852,5354;-62;5,5;4,1189770347066172;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;-8,0;159,000000000000000;12165,8665;-61;5,2;5,9166661642607767;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;44,0;208,000000000000000;852,5354;-62;5,5;0,4886921905584123;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;39,0;203,000000000000000;852,5354;-62;5,5;0,4014257279586957;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;1,0;168,000000000000000;11431,2752;-66;5,3;6,0737457969402664;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;-118,0;46,000000000000000;1976,5235;-62;5,1;3,9444441095071845;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;-113,0;51,000000000000000;12191,5032;-73;5,6;4,0317105721069018;60,4481816239736;22,2948452085257;164;2,45
2021-04-26T19:48:07Z;b8:27:eb:fd:6f:56;6,0;173,000000000000000;10821,1423;-63;4,4;6,1610122595399828;60,4482112237062;22,2948754043318;167;2,29
2021-04-26T19:48:07Z;b8:27:eb:11:e2:e6;-115,0;49,000000000000000;11324,3701;-63;4,8;3,9968039870670142;60,4481816239736;22,2948452085257;164;2,45
